% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=1070077, Thu Aug 29 15:19:32 2024, <python>{}</python>
1 10 0.490472733235956 0 0 0.4929093811334192 0.49372466213126415 0.4977386035426147 0.49563023159664593 0.49246979707000427 0.4896915516563973 0.4858438518447252 0.4868765398407845 0.4992262886776682 0.4865487422765214 0.4886400787015275 0.49964465150234916 0.4886075575691481 0.48594635226079624 0.489112107880182 0.4931896601000847 0.48453703572469853
2 20 0.48954989474564986 0 0 0.49595755480270975 0.4908362091457307 0.49975406157314306 0.48840135562980297 0.49063576265940145 0.49896149185738653 0.4847565716585633 0.48558048708995927 0.496593821932622 0.4842610167161884 0.4850839475136502 0.4959308396794102 0.490198941368866 0.48718631676714813 0.48836668533305266 0.49524241458625773 0.47785098021896805
3 30 0.5106926365512646 0 0 0.5163094976883466 0.513468875931703 0.5214550287225556 0.5098046653128666 0.5110820804919544 0.5158681325550376 0.49529221872762125 0.505092174400724 0.5183368497607209 0.5033430023953621 0.5055844590119348 0.5146868356159388 0.5262068797960238 0.5159092643026493 0.5079838764703586 0.5238078432504147 0.5062101158642567
4 40 0.5525971512139748 0 0 0.5652319374811857 0.5547069155528541 0.5656331204927358 0.5532066220091805 0.5517596774038314 0.5582646814088508 0.5354566946152155 0.5460386981708442 0.5660220851364437 0.5411205229797585 0.5391813301667132 0.5610129480233222 0.5731910697524936 0.5533265441821845 0.5470503100865781 0.570386272817682 0.5469887698585469
5 50 0.6277231617285494 0 0 0.6494014519003112 0.6349950433670034 0.6517214667819187 0.6290075044848099 0.6265581551788226 0.6360519155231458 0.6076675411269257 0.6187222768549875 0.6474674650039485 0.612492143816241 0.6111172712160178 0.6396171472320819 0.6590871331377186 0.6296698130540154 0.6224859432575479 0.6516866931703286 0.6200875572851853
6 60 0.7028446701219958 0 0 0.7276705378041542 0.7064030237349326 0.7141725341250545 0.7034446679585407 0.7081637490808144 0.7111354606242036 0.682994582503434 0.6837199174950893 0.7237805438402456 0.6859791727228504 0.6830852475180784 0.7213559478957075 0.7458583845249867 0.7037201382095523 0.6917070036859897 0.7287988549839224 0.6923921350287032
7 70 0.7961059613447404 0 0 0.8243443356766157 0.7959669659610861 0.8072211306691381 0.7969985679060303 0.8013356258917371 0.8078711444971266 0.7729461479380161 0.7731086401759657 0.8208916196507808 0.7746054854146905 0.7689143097910971 0.8105762510482192 0.8671594642448945 0.8004603156204879 0.7762885172012968 0.82440263538155 0.7893524894319222
8 80 0.8774473313159258 0 0 0.9207504427483066 0.8784341583796496 0.8822124630086984 0.8809232271660056 0.8811941972250065 0.8792165285641086 0.8473133838238314 0.8514043339711221 0.9035504746610604 0.8529496623209203 0.8358339608189449 0.9022387805739244 0.9591485567024933 0.8781233994218891 0.8537785322428459 0.8960606805288014 0.8703941720909804
9 90 0.9736566184984957 0 0 1.0238396577340012 0.9790088269345477 0.9777495158036514 0.9678524813635505 0.9775225626941075 0.964323343619683 0.9337086825362098 0.9426178063790086 1.0004651562204414 0.9416583955374628 0.921921073841389 1.0030030241205625 1.06712789229786 0.9736743182573989 0.9419904829115003 0.9968663410444111 0.9688564293065755
10 100 1.0980816596638088 0 0 1.1630342075563584 1.1097768265617176 1.0920062920501687 1.088947748359595 1.1131205502587835 1.0830923519501456 1.0543044643002983 1.0484276690975227 1.126629075801927 1.0609730815486427 1.0457193918279963 1.136772510905847 1.1928996437488215 1.100844896655107 1.056784061328904 1.1287863491448715 1.0778972866439058
