iter=0,err=0.405971
iter=10,err=0.373322
iter=20,err=0.329824
iter=30,err=0.300082
iter=40,err=0.272462
iter=50,err=0.242841
iter=60,err=0.205870
iter=70,err=0.168523
iter=80,err=0.134910
iter=90,err=0.106816
iter=100,err=0.078098
iter=110,err=0.054807
iter=120,err=0.039064
iter=130,err=0.024900
iter=140,err=0.016176
iter=150,err=0.014371
iter=160,err=0.012304
iter=170,err=0.011549
iter=180,err=0.010031
iter=190,err=0.008960
iter=200,err=0.007059
iter=210,err=0.006028
iter=220,err=0.005145
iter=230,err=0.005353
iter=240,err=0.004463
iter=250,err=0.004387
iter=260,err=0.004036
iter=270,err=0.003719
iter=280,err=0.003771
iter=290,err=0.003086
iter=300,err=0.002885
iter=310,err=0.002579
iter=320,err=0.002993
iter=330,err=0.003282
iter=340,err=0.002242
iter=350,err=0.001654
iter=360,err=0.002370
iter=370,err=0.002122
iter=380,err=0.001812
iter=390,err=0.002287
iter=400,err=0.003322
iter=410,err=0.011483
iter=420,err=0.013508
iter=430,err=0.011451
iter=440,err=0.008418
iter=450,err=0.005236
iter=460,err=0.003369
iter=470,err=0.002321
iter=480,err=0.003598
iter=490,err=0.007296
iter=500,err=0.007828
iter=510,err=0.004567
iter=520,err=0.003736
iter=530,err=0.006072
iter=540,err=0.007603
iter=550,err=0.006194
iter=560,err=0.004388
iter=570,err=0.004433
iter=580,err=0.003062
iter=590,err=0.002089
iter=600,err=0.001351
iter=610,err=0.001337
iter=620,err=0.001309
iter=630,err=0.002049
iter=640,err=0.001906
iter=650,err=0.002066
iter=660,err=0.001587
iter=670,err=0.001476
iter=680,err=0.001389
iter=690,err=0.000968
iter=700,err=0.004115
iter=710,err=0.026592
iter=720,err=0.040691
iter=730,err=0.042392
iter=740,err=0.041819
iter=750,err=0.038357
iter=760,err=0.033634
iter=770,err=0.030458
iter=780,err=0.028649
iter=790,err=0.025581
iter=800,err=0.023167
iter=810,err=0.020835
iter=820,err=0.019280
iter=830,err=0.017150
iter=840,err=0.016189
iter=850,err=0.017477
iter=860,err=0.016214
iter=870,err=0.013576
iter=880,err=0.011571
iter=890,err=0.011771
iter=900,err=0.010406
iter=910,err=0.007814
iter=920,err=0.007432
iter=930,err=0.007320
iter=940,err=0.005682
iter=950,err=0.005095
iter=960,err=0.005932
iter=970,err=0.005412
iter=980,err=0.004075
iter=990,err=0.003486
iter=1000,err=0.003768
